source,target
NCT U,NCT
SEULGI,Kassy
Whee In,GSoul
Eric Nam,Loco
CHEN,BAEKHYUN
MINO,Zion.T
pH-1,GSoul
J.Y. Park,Jung Seung Hwan
Henry,SEULGI
JENNIE,G-DRAGON
Whee In,CNBLUE
JUDE,MC 張天賦
IU,DEAN
PSY,Tablo
Loco,DEAN
SEULGI,BamBam
PSY,BOBBY
2PM,San E
f(x),SUPER JUNIOR
Jace Chan,P1X3L
SEUNGRI,JENNIE
HEIZE,Epik High
Elly艾妮,李靖筠
AILEE,SEVENTEEN
Wonder Girls,San E
DPR LIVE,DEAN
Loco,Crush
Tablo,Younha
Henry,Kim Feel
pH-1,Younha
SOYOU,BAEKHYUN
EXO-SC,10cm
Jace Chan,Mike 曾比特
PSY,Zion.T
CHEN,Punch
pH-1,Yerin Baek
K.Will,DAVICHI
Zion.T,AKMU
SEUNGRI,G-DRAGON
CHUNG HA,Paul Kim
Eric Nam,JAMIE
JENNIE,LeeHi
pH-1,CHEEZE
Suzy,BAEKHYUN
JAMIE,pH-1
Anson Lo 盧瀚霆,Edan 呂爵安
Yoon Mirae,LeeHi
GOT7,Hyolyn
JAMIE,Baek A Yeon
DPR LIVE,Jay Park
j-hope,Crush
Yang Yoseob,Sandeul
dj friz,Jay Park
CHUNG HA,BIBI
Whee In,MAMAMOO
PENOMECO,ZICO
B.I,LeeHi
PSY,G-DRAGON
DPR LIVE,MINO
Red Velvet,TAEYONG
G-DRAGON,Zion.T
Epik High,Younha
Moon Byul,Gaho
Henry,LeeHi
Loco,YUGYEOM
B.I,iKON
SEUNGRI,IU
MAMAMOO,K.Will
IU,Zion.T
GD X TAEYANG,BIGBANG
Gummy,KYUHYUN
Loco,KANGDANIEL
SEULGI,ALi
陳卓賢 Ian,Anson Kong 江𤒹生
Kaho Hung,MC 張天賦
XIA,Tablo
Gummy,Loco
G-DRAGON,LeeHi
Eric Nam,Park Boram
Byejack,Gigi Cheung
BEN,Shin Yong Jae
Yang Da Il,Solar
Eric Nam,AILEE
ZICO,KANGDANIEL
WENDY,TAEMIN
dj friz,HEIZE
Jessi,SUNMI
Girls' Generation,Jessica
IU,FIESTAR
Eric Nam,Tablo
Yubin,2PM
Punch,HA SUNG WOON
Loco,YUJU
TAEYONG,TVXQ!
LAY,NCT 127
YENA,BIBI
T-ARA,DAVICHI
Crush,LeeHi
PENOMECO,pH-1
pH-1,SOYOU
AILEE,Jung Seung Hwan
Sam Kim,AKMU
Henry,SUPER JUNIOR-D&E
G-DRAGON,ROSÉ
Punch,HEIZE
DPR LIVE,Loco
K.Will,Outsider
KANGDANIEL,Jessi
PARK WOO JIN,AB6IX
MINO,BOBBY
Loco,pH-1
K/DA,TWICE
Henry,CHANYEOL
HYOYEON,TAEYEON
Monday Kiz,Punch
SHINee,f(x)
ONE PROMISE,Jer 柳應廷
I.M,HEIZE
KANGDANIEL,Dvwn
MINO,ZICO
JAMIE,KANGDANIEL
IU,HIGH4
PSY,IVY
CL,Epik High
Epik High,Crush
SUGA,PSY
K.Will,Realslow
Tablo,LeeHi
CHEN,10cm
DEAN,Crush
YUGYEOM,Jay Park
pH-1,Jay Park
XIA,BEN
KYUHYUN,Sung Si Kyung
Whee In,Sandeul
SOYOU,Rain
TAEMIN,TAEYEON
Sam Kim,Crush
mansonvibes,葉巧琳
IU,AKMU
태양,SEUNGRI
Yang Yoseob,Jung Seung Hwan
PENOMECO,Crush
Baek Ji Young,Mighty Mouth
IU,ZICO
ROCOBERRY,Henry
Shin Yong Jae,HEIZE
D.O.,f(x)
CHUNG HA,pH-1
Gummy,G-DRAGON
PENOMECO,EXO-SC
SUGA,Lee So Ra
DPR LIVE,Hwa Sa
ZICO,Crush
BoA,Crush
As One,Yang Da Il
Sam Kim,ZICO
CHUNG HA,YESUNG
K.Will,SOYOU
KARD,SUPER JUNIOR
B.I,SEUNGRI
Yang Da Il,San E
HEIZE,Realslow
HEIZE,Jessi
Eddy Kim,BoA
JOY,Crush
Keung To,Anson Lo 盧瀚霆
Gummy,Rothy
ZICO,Rain
MAMAMOO,Hwa Sa
San E,Hyolyn
dj friz,BTS
CHEN,AILEE
iKON,BOBBY
Yoon Mirae,AILEE
ZICO,Dvwn
Boombastic,MXM
pH-1,IZ*ONE
pH-1,Kim Sung Jae
BoA,KEY
J.Y. Park,SUNMI
TAEMIN,JONGHYUN
PSY,Jessi
MC $oho & KidNey,kayan9896
TAEYEON,Crush
HA:TFELT,Younha
Jay Park,DAVICHI
Henry,pH-1
AKMU,Crush
NIve,Yang Da Il
PENOMECO,Sam Kim
PENOMECO,KIM JAE HWAN
HYO,JEON SOYEON
PSY,HEIZE
KYUHYUN,Henry
CHEN,XIUMIN
Kim Feel,HEIZE
CHEN,SUHO
XIA,PSY
Epik High,BOBBY
ZICO,Zion.T
Song Ji Eun,B.A.P
Girls' Generation,KEY
SEULGI,YESUNG
f(x),ZICO
Yumi 鍾柔美,Chantel 姚焯菲
Loco,BAEKHYUN
AILEE,RAVI
TAEYEON,AMBER
IU,Clon
CHEN,CHANYEOL
WENDY,Yang Da Il
GD&TOP,BIGBANG
Paul Kim,ALi
KYUHYUN,SOYOU
Keung To,Fatboy
IU,JONGHYUN
IU,Gain
Kim Feel,Epik High
TAEMIN,SEULGI
Yang Da Il,Hyolyn
G-DRAGON,IU
Serrini,The Hertz
BTOB,G.NA
TAEYEON,KEY
Solar,Kassy
BIBI,Crush
Girls' Generation,Tiffany Young
Punch,ONEW
NIve,Sam Kim
Yang Yoseob,pH-1
HYOYEON,Girls' Generation
Whee In,AILEE
Younha,Realslow
SOYOU,Jung Yong Hwa
Jackson Wang,Rain
IU,Ra.D
SOYOU,KEY
Beast,4Minute
Moon Byul,Punch
SUGA,IU
U-KNOW,SUPER JUNIOR
Epik High,LeeHi
麗英,ANSONBEAN
WENDY,ZICO
TAEYEON,MeloMance
HYO,BIBI
Jay Park,Crush
BoA,TVXQ!
J.Y. Park,Rain
MINO,Epik High
Sandeul,Jung Seung Hwan
ONF,OH MY GIRL
CHANYEOL,LeeHi
Apink,Huh Gak
Eddy Kim,Solar
Yang Yoseob,JEONG EUN JI
HyunA,G.NA
Eric Nam,JEON SOMI
Lee So Ra,Crush
Eric Nam,SEOHYUN
DEAN,Yerin Baek
K.Will,SISTAR
GFRIEND,Monday Kiz
MAMAMOO,Moon Byul
Punch,CHANYEOL
B.I,PSY
TAEMIN,Henry
DEAN,TAEYEON
Brown Eyed Girls,SG Wannabe
MAMAMOO,Realslow
Eric Nam,AMBER
Kwon Jin Ah,10cm
Zion.T,Crush
TAEYEON,JONGHYUN
Orange Caramel,10cm
Jackson Wang,SUNMI
Girls' Generation,ONEW
Tyson Yoshi,Gareth.T
XIA,J-JUN
J.Y. Park,Wonder Girls
dj friz,Epik High
SOYOU,Sung Si Kyung
ZICO,Hyolyn
陳穎欣,Kaho Hung
KIM DONG HAN,Hyolyn
TAEMIN,KAI
MINO,LeeHi
VICTON,Apink
ROCOBERRY,ONEW
JUNNY,MIYEON
B.I,Tablo
ZICO,Epik High
ZICO,GSoul
Monday Kiz,Kim Na Young
태양,G-DRAGON
Jay Park,Younha
Jay Park,Hyolyn
MAMAMOO,Loco
KYUHYUN,MINO
ZICO,BIBI
Jay Park,Jessi
Girls' Generation,TAEYEON
CL,G-DRAGON
GSoul,Epik High
Yoo Jae Seok,LeeHi
SUGA,BTS
Mike 曾比特,ONE PROMISE
BOL4,BAEKHYUN
IU,Jay Park
Johnnyswim,NEEDTOBREATHE
ZICO,BOBBY
Gummy,Realslow
K.Will,BOYFRIEND
NCT DREAM,NCT
SEUNGRI,MINO
DEAN,ZICO
Yoon Mirae,BIBI
CHEN,HEIZE
SOYOU,IZ*ONE
PARK JI HOON,HA SUNG WOON
G-DRAGON,Kim Gun Mo
Henry,Jessi
KEY,Crush
Henry,BoA
DPR LIVE,Crush
Park Ji Yoon,Epik High
G-DRAGON,Kim Yuna
XIA,Hyolyn
HyunA,DAWN 던
WENDY,Baek A Yeon
IU,Epik High
Kim Na Young,Yang Da Il
IU,Sung Si Kyung
mansonvibes,Travis Au
KEY,JEON SOYEON
DEAN,HEIZE
PSY,Hwa Sa
PSY,Crush
Tablo,Epik High
Whee In,pH-1
NCT,NCT 127
Loco,Jay Park
PARK WON,Suzy
Tablo,Jay Park
Brown Eyed Girls,Uhm Jung Hwa
SUPER JUNIOR,TVXQ!
SEULGI,Zion.T
Aska 張馳豪,Gigi炎明熹
Bear's Den,Jade Bird
Yumi 鍾柔美,Gigi炎明熹
Zpecial,Gigi Cheung
ANSONBEAN,WINKA
WENDY,SEULGI
LeeHi,BOBBY
Yang Yoseob,MINSEO
SEOHYUN,TVXQ!
Zion.T,JONGHYUN
K.Will,Hwa Sa
G-DRAGON,BIGBANG
Baek A Yeon,2PM
MAMAMOO,Solar
Loco,Jung Yong Hwa
OH MY GIRL,B1A4
PARK JI HOON,LeeHi
pH-1,Epik High
PSY,Sung Si Kyung
Kim Na Young,LEE MINHYUK (HUTA)
NewKidd,AILEE
MAMAMOO,SEULGI
Whee In,Monsta X
Jay Park,Epik High
BIBI,JEON SOYEON
Loco,Hwa Sa
SOYOU,Huh Gak
Yoon Mirae,Punch
T-ARA,SG Wannabe
G-DRAGON,Sandara Park
Yoon Mirae,Jay Park
LOONA,Kep1er
HALO,CHUNG HA
Kim Jong Kook,ATEEZ
K.Will,BAEKHYUN
2NE1,BIGBANG
Loco,Zion.T
Chantel 姚焯菲,Aska 張馳豪
(G)I-DLE,K/DA
B.I,Epik High
CL,PSY
CHUNG HA,Rain
WENDY,Eric Nam
SURAN,ZICO
ONF,B1A4
Punch,TAEYONG
PARK WOO JIN,KIM JAE HWAN
BOYFRIEND,SISTAR
BEN,GSoul
Moon Byul,Solar
PARK JI HOON,PENOMECO
Henry,SOYOU
JONGHYUN,Younha
Kwon Jin Ah,Sam Kim
SOYOU,KIHYUN
HEIZE,Crush
JOY,Paul Kim
Chantel 姚焯菲,Gigi炎明熹
Loco,Sam Kim
